"name","name_ar","sku","price","sale_price","quantity","is_infinite","is_taxable","requires_shipping","is_draft","description","short_description","categories","images","weight","barcode"
"Amazon Echo 4","Amazon Echo 4","NGS-AMA-VOI-0293","449","","10","FALSE","TRUE","TRUE","FALSE","Amazon Echo 4 available at NGS Smart Home Store. Price: 449 SAR.","Amazon Echo 4 &#8211; Smart Home Product","أجهزة صوتية","https://neogen.store/wp-content/uploads/NGS-AMA-VOI-0293.webp","",""
"Gardena Water Control","Gardena Water Control","NGS-GAR-IRR-0290","399","","10","FALSE","TRUE","TRUE","FALSE","Gardena Water Control available at NGS Smart Home Store. Price: 399 SAR.","Gardena Water Control &#8211; Smart Home Product","ري ذكي","https://neogen.store/wp-content/uploads/NGS-GAR-IRR-0290.webp","",""
"Eve Aqua","Eve Aqua","NGS-EVE-IRR-0289","449","","10","FALSE","TRUE","TRUE","FALSE","Eve Aqua available at NGS Smart Home Store. Price: 449 SAR.","Eve Aqua &#8211; Smart Home Product","ري ذكي","https://neogen.store/wp-content/uploads/NGS-EVE-IRR-0289.webp","",""
"OpenSprinkler OS 3.0","OpenSprinkler OS 3.0","NGS-OPE-IRR-0288","549","","10","FALSE","TRUE","TRUE","FALSE","OpenSprinkler OS 3.0 available at NGS Smart Home Store. Price: 549 SAR.","OpenSprinkler OS 3.0 &#8211; Smart Home Product","ري ذكي","https://neogen.store/wp-content/uploads/NGS-OPE-IRR-0288.webp","",""
"Orbit B-hyve XR","Orbit B-hyve XR","NGS-ORB-IRR-0287","649","","10","FALSE","TRUE","TRUE","FALSE","Orbit B-hyve XR available at NGS Smart Home Store. Price: 649 SAR.","Orbit B-hyve XR &#8211; Smart Home Product","ري ذكي","https://neogen.store/wp-content/uploads/NGS-ORB-IRR-0287.webp","",""
"Rachio 3 16-Zone","Rachio 3 16-Zone","NGS-RAC-IRR-0285","999","","10","FALSE","TRUE","TRUE","FALSE","Rachio 3 16-Zone available at NGS Smart Home Store. Price: 999 SAR.","Rachio 3 16-Zone &#8211; Smart Home Product","ري ذكي","https://neogen.store/wp-content/uploads/NGS-RAC-IRR-0285.webp","",""
"Meross Garage Opener","Meross Garage Opener","NGS-MER-COV-0284","199","","10","FALSE","TRUE","TRUE","FALSE","Meross Garage Opener available at NGS Smart Home Store. Price: 199 SAR.","Meross Garage Opener &#8211; Smart Home Product","Covers","https://neogen.store/wp-content/uploads/NGS-MER-COV-0284.webp","",""
"SwitchBot Blind Tilt","SwitchBot Blind Tilt","NGS-SWI-COV-0282","329","","10","FALSE","TRUE","TRUE","FALSE","SwitchBot Blind Tilt available at NGS Smart Home Store. Price: 329 SAR.","SwitchBot Blind Tilt &#8211; Smart Home Product","Covers","https://neogen.store/wp-content/uploads/NGS-SWI-COV-0282.webp","",""
"SwitchBot Curtain 3","SwitchBot Curtain 3","NGS-SWI-COV-0281","449","","10","FALSE","TRUE","TRUE","FALSE","SwitchBot Curtain 3 available at NGS Smart Home Store. Price: 449 SAR.","SwitchBot Curtain 3 &#8211; Smart Home Product","Covers","https://neogen.store/wp-content/uploads/NGS-SWI-COV-0281.webp","",""
"Aqara Curtain Driver E1","Aqara Curtain Driver E1","NGS-AQA-COV-0280","399","","10","FALSE","TRUE","TRUE","FALSE","Aqara Curtain Driver E1 available at NGS Smart Home Store. Price: 399 SAR.","Aqara Curtain Driver E1 &#8211; Smart Home Product","Covers","https://neogen.store/wp-content/uploads/NGS-AQA-COV-0280.webp","",""
"Aqara Roller Shade E1","Aqara Roller Shade E1","NGS-AQA-COV-0279","259","","10","FALSE","TRUE","TRUE","FALSE","Aqara Roller Shade E1 available at NGS Smart Home Store. Price: 259 SAR.","Aqara Roller Shade E1 &#8211; Smart Home Product","Covers","https://neogen.store/wp-content/uploads/NGS-AQA-COV-0279.webp","",""
"Hue Tap Dial","Hue Tap Dial","NGS-HUE-BUT-0278","189","","10","FALSE","TRUE","TRUE","FALSE","Hue Tap Dial available at NGS Smart Home Store. Price: 189 SAR.","Hue Tap Dial &#8211; Smart Home Product","أزرار ذكية","https://neogen.store/wp-content/uploads/NGS-HUE-BUT-0278.webp","",""
"Sonoff SNZB-01","Sonoff SNZB-01","NGS-SON-BUT-0277","39","","10","FALSE","TRUE","TRUE","FALSE","Sonoff SNZB-01 available at NGS Smart Home Store. Price: 39 SAR.","Sonoff SNZB-01 &#8211; Smart Home Product","أزرار ذكية","https://neogen.store/wp-content/uploads/NGS-SON-BUT-0277.webp","",""
"Hue Smart Button","Hue Smart Button","NGS-HUE-BUT-0276","129","","10","FALSE","TRUE","TRUE","FALSE","Hue Smart Button available at NGS Smart Home Store. Price: 129 SAR.","Hue Smart Button &#8211; Smart Home Product","أزرار ذكية","https://neogen.store/wp-content/uploads/NGS-HUE-BUT-0276.webp","",""
"Aqara Mini Switch","Aqara Mini Switch","NGS-AQA-BUT-0274","69","","10","FALSE","TRUE","TRUE","FALSE","Aqara Mini Switch available at NGS Smart Home Store. Price: 69 SAR.","Aqara Mini Switch &#8211; Smart Home Product","أزرار ذكية","https://neogen.store/wp-content/uploads/NGS-AQA-BUT-0274.webp","",""
"SmartThings Station","SmartThings Station","NGS-SMA-HUB-0273","549","","10","FALSE","TRUE","TRUE","FALSE","SmartThings Station available at NGS Smart Home Store. Price: 549 SAR.","SmartThings Station &#8211; Smart Home Product","Hubs","https://neogen.store/wp-content/uploads/NGS-SMA-HUB-0273.webp","",""
"Hue Bridge","Hue Bridge","NGS-HUE-HUB-0271","259","","10","FALSE","TRUE","TRUE","FALSE","Hue Bridge available at NGS Smart Home Store. Price: 259 SAR.","Hue Bridge &#8211; Smart Home Product","Hubs","https://neogen.store/wp-content/uploads/NGS-HUE-HUB-0271.webp","",""
"UniFi UNVR","UniFi UNVR","NGS-UNI-SEC-0270","1299","","10","FALSE","TRUE","TRUE","FALSE","UniFi UNVR available at NGS Smart Home Store. Price: 1299 SAR.","UniFi UNVR &#8211; Smart Home Product","أنظمة أمان","https://neogen.store/wp-content/uploads/NGS-UNI-SEC-0270.webp","",""
"SwitchBot Lock Pro","SwitchBot Lock Pro","NGS-SWI-SEC-0269","549","","10","FALSE","TRUE","TRUE","FALSE","SwitchBot Lock Pro available at NGS Smart Home Store. Price: 549 SAR.","SwitchBot Lock Pro &#8211; Smart Home Product","أنظمة أمان","https://neogen.store/wp-content/uploads/NGS-SWI-SEC-0269.webp","",""
"Aqara U100","Aqara U100","NGS-AQA-SEC-0268","999","","10","FALSE","TRUE","TRUE","FALSE","Aqara U100 available at NGS Smart Home Store. Price: 999 SAR.","Aqara U100 &#8211; Smart Home Product","أنظمة أمان","https://neogen.store/wp-content/uploads/NGS-AQA-SEC-0268.webp","",""
"Reolink WiFi Doorbell","Reolink WiFi Doorbell","NGS-REO-SEC-0267","449","","10","FALSE","TRUE","TRUE","FALSE","Reolink WiFi Doorbell available at NGS Smart Home Store. Price: 449 SAR.","Reolink WiFi Doorbell &#8211; Smart Home Product","أنظمة أمان","https://neogen.store/wp-content/uploads/NGS-REO-SEC-0267.webp","",""
